pre01,pre02,pre03,test_size,num_normal,model_name,tokenizer,learning_rate,epochs,batch_size,train_loss,train_accuracy,val_loss,val_accuracy,val_f1_score
,,,0.2,3000,monologg/koelectra-base-v3-discriminator,AutoTokenizer,5e-05,5,8,0.045373559,0.990822785,0.378072935,0.910126582,0.910384729
,,,0.2,3000,monologg/koelectra-base-v3-discriminator,AutoTokenizer,5e-05,5,8,0.060072793,0.989240506,0.404467441,0.889873418,0.890413541
,,,0.2,0,klue/bert-base,AutoTokenizer,5e-05,5,8,0.014481181,0.997468354,0.320336104,0.915189873,0.915246043
,,,0.2,0,monologg/koelectra-base-v3-discriminator,AutoTokenizer,5e-05,5,8,0.053818797,0.990189873,0.393552964,0.892405063,0.892748856
,,,0.2,0,klue/roberta-base,AutoTokenizer,5e-05,5,8,0.048173822,0.990822785,0.364642825,0.908860759,0.909215788
,,,0.2,0,bert-base-uncased,AutoTokenizer,5e-05,5,8,1.392770455,0.249683544,1.384774029,0.27721519,0.120337218
clean,,,0.2,0,monologg/koelectra-base-v3-discriminator,AutoTokenizer,5e-05,5,8,0.06024268,0.987658228,0.349177844,0.9,0.900431391
,remove_stopwords,,0.2,0,monologg/koelectra-base-v3-discriminator,AutoTokenizer,5e-05,5,8,0.045738872,0.992088608,0.408671867,0.892405063,0.89297587
clean,remove_stopwords,,0.2,0,monologg/koelectra-base-v3-discriminator,AutoTokenizer,5e-05,5,8,0.045481711,0.991455696,0.413277016,0.886075949,0.886136809
,,,0.2,1000,monologg/koelectra-base-v3-discriminator,AutoTokenizer,5e-05,5,8,0.052297504,0.989873418,0.367555116,0.9,0.900294826
,,,0.2,2000,monologg/koelectra-base-v3-discriminator,AutoTokenizer,5e-05,5,8,0.079733236,0.981012658,0.337876104,0.902531646,0.902568644
,,,0.2,3000,monologg/koelectra-base-v3-discriminator,AutoTokenizer,5e-05,5,8,0.059814406,0.988291139,0.321421295,0.913924051,0.913839851
,,,0.2,0,monologg/koelectra-base-v3-discriminator,BertTokenizerFast,5e-05,5,8,0.049953783,0.990822785,0.425440574,0.903797468,0.903729149
,,,0.2,0,monologg/koelectra-base-v3-discriminator,AutoTokenizer,5e-05,10,8,0.014153337,0.99778481,0.518596139,0.9,0.900158878
,,,0.2,0,monologg/koelectra-base-v3-discriminator,AutoTokenizer,5e-05,20,8,0.030911843,0.993037975,0.547540918,0.891139241,0.89181997
,,,0.2,0,monologg/koelectra-base-v3-discriminator,AutoTokenizer,5e-05,50,8,0.076946278,0.982594937,0.446218536,0.889873418,0.89061778
,,,0.2,"1,000",monologg/koelectra-base-v3-discriminator,AutoTokenizer,5e-05,5,8,0.299478604,0.907594937,0.322041718,0.903797468,0.903804355
,,,0.2,"2,000",monologg/koelectra-base-v3-discriminator,AutoTokenizer,5e-05,5,8,0.18572547,0.945886076,0.328876579,0.893670886,0.893759565
,,,0.2,0,monologg/koelectra-base-v3-discriminator,AutoTokenizer,5e-05,5,8,0.08981430990550714,0.9800632911392405,0.343004016882994,0.9,0.9002520890193606
